chart_id,background_color,first_foreground,second_foreground,color
1,#0527ae,#d244af,#d244af,true
2,#091527,#208fb5,#208fb5,true
3,#031c6f,#930e8f,#930e8f,true
4,#0e287e,#7f5aa0,#7f5aa0,true
5,#89f95a,#4fa12a,#4fa12a,true
6,#a6ef47,#9538b7,#9538b7,true
7,#187efa,#065f76,#065f76,true
8,#0ec335,#149e05,#149e05,true
9,#ecdf8c,#55f102,#55f102,true
10,#25e55b,#337795,#337795,true
11,#103a9e,#b585b2,#b585b2,true
12,#233a95,#b2b71d,#b2b71d,true
13,#2a0ec2,#7118e8,#7118e8,true
14,#632107,#9b25f7,#9b25f7,true
15,#1ca41a,#ab8805,#ab8805,true
16,#4d45a5,#5b9c41,#5b9c41,true
17,#2509cf,#d2327e,#d2327e,true
18,#ae12ba,#0fb3ad,#0fb3ad,true
19,#b742b5,#38a2aa,#38a2aa,true
20,#014fa5,#950bef,#950bef,true
21,#0936b6,#a004c1,#a004c1,true
22,#0936b6,#a01fbb,#a01fbb,true
23,#799929,#bb7828,#bb7828,true
24,#990cd3,#7a45a6,#7a45a6,true
25,#63bc86,#b19797,#b19797,true
26,#ddf654,#23f41f,#23f41f,true
27,#f5f654,#9eff21,#9eff21,true
28,#f8c02a,#afc858,#afc858,true
29,#c2f22d,#b9cb55,#b9cb55,true
30,#b7a2f1,#c77cd5,#c77cd5,true
31,#913da7,#1d7adb,#1d7adb,true
32,#a83dc4,#a33c8d,#a33c8d,true
33,#a83dc4,#5680b4,#5680b4,true
34,#8a2f0d,#1e9219,#1e9219,true
35,#120764,#9312be,#9312be,true
36,#120764,#884d6f,#884d6f,true
37,#561829,#379f62,#379f62,true
38,#0fabe5,#2ea1d5,#2ea1d5,true
39,#8c28f0,#147aa3,#147aa3,true
40,#34ff15,#e29b2e,#e29b2e,true
41,#ff0000,#9bd621,#9bd621,true
42,#d4475f,#4f9562,#4f9562,true
43,#4b748a,#b44c93,#b44c93,true
44,#6f7086,#d565ac,#d565ac,true
45,#6a6c8b,#b44c94,#b44c94,true
46,#403bc7,#b1ad18,#b1ad18,true
47,#419c7d,#be6382,#be6382,true
48,#14f274,#e7389c,#e7389c,true
49,#a6d1fe,#8bc694,#8bc694,true
50,#70f88d,#d4975e,#d4975e,true
51,#d5fe14,#d4975e,#d4975e,true
52,#0e48ad,#6a3bc7,#6a3bc7,true
53,#eadd6b,#c8cb74,#c8cb75,true
