chart_id,background_color,first_foreground,second_foreground,color
cr,#c81e1e,#80c8c8,#9796b2,true
yr,#c81e1e,#c8c880,#87c18e,true
cg,#1ec81e,#80c8c8,#9796b2,true
mg,#1ec81e,#c880c8,#6b65e3,true
yb,#1e1ec8,#c8c880,#87c18e,true
mb,#1e1ec8,#c880c8,#6b65e3,true
y_wn,wn,#c8c880,#87c18e,true
m_wn,wn,#c880c8,#6b65e3,true
c_wn,wn,#80c8c8,#9796b2,true
rc,#80c8c8,#c81e1e,#db0b60,true
ry,#c8c880,#c81e1e,#db0b60,true
gc,#80c8c8,#1ec81e,#15d17e,true
gm,#c880c8,#1ec81e,#15d17e,true
by,#c8c880,#1e1ec8,#bf06e0,true
bm,#c880c8,#1e1ec8,#bf06e0,true
r_wn,wn,#c81e1e,#db0b60,true
g_wn,wn,#1ec81e,#15d17e,true
b_wn,wn,#1e1ec8,#bf06e0,true
