chart_id,background_color,first_foreground,second_foreground,color
1,#0527ae,#d244af,#9d2b7f,true
3,#031c6f,#930e8f,#9908a6,true
4,#0e287e,#7f5aa0,#9787b3,true
5,#89f95a,#4fa12a,#61c024,true
6,#a6ef47,#9538b7,#bb50df,true
7,#187efa,#065f76,#0a2b3c,true
9,#ecdf8c,#55f102,#55b30e,true
11,#103a9e,#b585b2,#be7abf,true
13,#2a0ec2,#7118e8,#7006c9,true
14,#632107,#9b25f7,#ae49fd,true
15,#1ca41a,#ab8805,#f8a700,true
18,#ae12ba,#0fb3ad,#00777d,true
19,#b742b5,#38a2aa,#186e6a,true
20,#014fa5,#950bef,#71149e,true
21,#0936b6,#a004c1,#7d08a9,true
24,#990cd3,#7a45a6,#b080d0,true
25,#63bc86,#b19797,#807372,true
26,#ddf654,#23f41f,#46e22a,true
27,#f5f654,#9eff21,#70f810,true
28,#f8c02a,#afc858,#aeb76f,true
29,#c2f22d,#b9cb55,#c1d456,true
30,#b7a2f1,#c77cd5,#dfa3eb,true
32,#a83dc4,#a33c8d,#89396e,true
34,#8a2f0d,#1e9219,#2f862b,true
35,#120764,#9312be,#590b78,true
36,#120764,#884d6f,#664c59,true
38,#0fabe5,#2ea1d5,#298cb5,true
39,#8c28f0,#147aa3,#06c6f7,true
40,#34ff15,#e29b2e,#ac7020,true
43,#4b748a,#b44c93,#c137ad,true
45,#6a6c8b,#b44c94,#a24182,true
49,#a6d1fe,#8bc694,#a7dda8,true
50,#70f88d,#d4975e,#ea9763,true
51,#d5fe14,#d4975e,#cea889,true
52,#0e48ad,#6a3bc7,#9e8ad0,true
53,#eadd6b,#c8cb74,#a9a662,true
54,#7c750d,#288046,#275833,true
55,#cb2c4c,#c42675,#da437f,true
56,#a55672,#ac553a,#c53628,true
57,#fc434d,#db1a64,#811a53,true
58,#3d554e,#1a2393,#111737,true
